label	utterance
Protecting_Against_Infection	How to Prevent the Spread of the Virus
Protecting_Against_Infection	prevent the spread of the virus
Protecting_Against_Infection	what should i do to contain the spread of the virus
Protecting_Against_Infection	How do you protect yourself?
Protecting_Against_Infection	How to prevent covid infection?
Protecting_Against_Infection	What is the best prevention?
Protecting_Against_Infection	Do I need to disinfect my cell phone when I get home
Protecting_Against_Infection	Can I protect myself by drinking alcohol
Protecting_Against_Infection	Does the sun kill coronavirus?
Protecting_Against_Infection	What will help me prevent covid infection?
Protecting_Against_Infection	What should I do to avoid getting sick?
Protecting_Against_Infection	How do I avoid Coronavirus
Protecting_Against_Infection	What is the most effective prevention?
Protecting_Against_Infection	What rules should I follow to prevent covid illness?
Protecting_Against_Infection	Should I avoid people?
Protecting_Against_Infection	how can i prevent coronavirus
Protecting_Against_Infection	how do I stay safe
Protecting_Against_Infection	what can I do to avoid getting sick?
Protecting_Against_Infection	What can I do to not get sick?
Protecting_Against_Infection	precautionary measures
Protecting_Against_Infection	what is the best way to prevent coronavirus
Protecting_Against_Infection	how do i prevent catching the desease
Protecting_Against_Infection	what can i do to prevent getting coronavirus?
Protecting_Against_Infection	how can I not get sick
Protecting_Against_Infection	How can I avoid getting sick?
Protecting_Against_Infection	what can i do to stay safe
Protecting_Against_Infection	What is effective prevention against covid?
Protecting_Against_Infection	Does eating garlic help?
Protecting_Against_Infection	What are some good tips for prevention?
Protecting_Against_Infection	How to avoid catching covid-19.
Protecting_Against_Infection	How do I avoid covid-19?
13.4.About_Anezka_hate	This is crap
13.4.About_Anezka_hate	I'm hanging up
13.4.About_Anezka_hate	I hate you
13.4.About_Anezka_hate	I hate this
13.4.About_Anezka_hate	I hate these kinds of things
13.4.About_Anezka_hate	I hate
13.4.About_Anezka_hate	I don't like this
13.4.About_Anezka_hate	everything is horrible
13.4.About_Anezka_hate	go to hell
13.4.About_Anezka_hate	This is hateful
Case_Count	how many people in texas have corona virus?
Case_Count	How many people are infected with Corona virus currently in texas?
Case_Count	how many people are infected
Case_Count	how many people have the virus?
Case_Count	How many people are infected in Illinois?
Case_Count	How many folks in Texas are infected?
Case_Count	How many coronavirus cases are there in my area?
Case_Count	How many cases of the virus are there in the world?
Case_Count	how many people ar sick in the US?
Case_Count	how many people have contracted the virus in pennysylvania
Case_Count	how many cases are there in Texas?
Case_Count	are people infected in my city ?
Case_Count	how many patients are infected with cornona virus in collin county
Case_Count	How many people have the virus in our county
Case_Count	how many current cases are there in Illinois
Case_Count	Which countries has covid-19 been detected in?
Case_Count	Where can I find information about covid 19 for the world?
Case_Count	How has coronavirus spread around the world?
Case_Count	How many people are sick throughout the world?
Case_Count	How many people total have coronavirus?
Case_Count	How many people have covid-19 in the whole world?
Case_Count	How many people in the world have died?
Case_Count	Are there any cases near me
Case_Count	Does MA have a confirmed COVID case?
Case_Count	how many ppl are infected in the us?
Case_Count	Does the US have a confirmed COVID case?
Case_Count	what is the count of coronavirus infected people?
Case_Count	covid number in my state?
Case_Count	has anyone died of coronavirus in my state?
Case_Count	is anyone near me sick
Case_Count	Where are cases?
Case_Count	How many cases of COVID-19 are in the US?
Symptoms	what is the first symptom
Symptoms	what are the covid symtoms
Symptoms	what are symtoms?
Symptoms	what are symptoms
Symptoms	how do I know if i have this thing
Symptoms	how do i know if i have this issue
Symptoms	how do i know if I got this thing
Symptoms	how do i know if i got this
Symptoms	I have headache and sore throat ..what should I do ?
Symptoms	If I only have a sore throat is it Coronavirus?
Symptoms	"I have sore throat, is it coronavirus?"
Symptoms	i have a sore throat
Symptoms	I have sore throat
Symptoms	Ihave sore throat
Symptoms	My child is coughing. Should I be worried?
Symptoms	my child has a high fever and is coughing. what should I do?
Symptoms	Will I throw up if I have the virus?
Symptoms	Will I poop a lot if I have the virus?
Symptoms	what are the most common symptoms of COVID?
Symptoms	what are the symptoms I should look out for
Symptoms	what are covid 19 symptoms
Symptoms	tell me about the symptoms
Symptoms	How do I know if I'm sick with covid-19?
Symptoms	how to distinguish it from a common cold.
Symptoms	how can one know if they have been infected?
Symptoms	I have an irritating cough
Symptoms	what are the symptoms of coronavirus
Symptoms	What to do if I think I have covid?
Symptoms	Will my head hurt if I have covid 19?
Symptoms	Is a headache a symptom of the coronavirus?
Symptoms	I'm afraid I have covid-19
Symptoms	what are the common symptoms
Symptoms	what are the early symptoms of covid-19?
Symptoms	What are the first symptoms for COVID?
Symptoms	what are the symptoms of coronoavirus
Symptoms	what are the symptoms of COVID-19
Symptoms	what are the COVID-19 symptoms?
Symptoms	what are symptoms of coronvirus
Symptoms	what are the types of symptoms
Symptoms	Hi what are the symptoms?
Symptoms	What are the symptoms?
Symptoms	what are my symptoms
Symptoms	I feel congested and have a fever
Symptoms	am i sick
Symptoms	I think i'm infected
Symptoms	should I get tested if I have a cough?
Symptoms	I think I might have the virus.
Symptoms	I have travled recently. What do I do?
Symptoms	I traveled to Italy recently. What do I do?
Symptoms	Do I need to get tested?
Symptoms	What are symptoms?
Symptoms	how do i know if im sick
Symptoms	do I have covid?
Symptoms	my throat and head hurt
Symptoms	my throat hurts and I have a headache as well
Symptoms	should i get tested
Symptoms	Symptoms
Symptoms	Wet cough
Symptoms	temperature
Symptoms	I can not breath very well
Symptoms	rhinitis
Symptoms	I'm having respiratory problems
Symptoms	I thing I feel symptoms of the disease
Symptoms	my eyes are burning
Symptoms	I have a burning feeling in my chest
Symptoms	I think I have covid 19
Symptoms	My husband has coronavirus symptoms
Symptoms	My girlfriend has symptoms of covid-19
Symptoms	I have a temperature and cough. Do I have the coronavirus?
Symptoms	I have illness symptoms
Symptoms	I have a fever
Symptoms	Is rash a symptom of covid-19?
Symptoms	what symptoms are typical with this disease
Symptoms	What are the symptoms of the disease?
Symptoms	What are the symptoms of covid?
Symptoms	what are the symptoms
13.3.About_Anezka_Greeting	good afternoon
13.3.About_Anezka_Greeting	good evening
13.3.About_Anezka_Greeting	good morning
13.3.About_Anezka_Greeting	Hello
13.3.About_Anezka_Greeting	Hey
13.3.About_Anezka_Greeting	Hi
13.3.About_Anezka_Greeting	What's up
